,count,mean,std,min,25%,50%,75%,max
roberta_neg,9.0,0.37564811603002135,0.053996399200192065,0.299363599140888,0.346789170875,0.3560501476122,0.400222932473808,0.4776948691413601
roberta_neu,9.0,0.34445155545088,0.017614582952054536,0.33130602455784,0.33342421965568,0.3361817218338399,0.34590493739136,0.38018696397584
roberta_pos,9.0,0.27990032875145776,0.04737377552482159,0.19099910636168,0.26635285021208,0.28567062252608,0.3204494373221599,0.32539101844248
roberta_sum,9.0,-0.09574778719230044,0.10004747860217274,-0.28669576305248,-0.13387008292168,-0.080010967529512,-0.025081498467648,0.0210858388719359
sensitivity,8.0,0.008026663664041998,0.16178012051950388,-0.194218728422584,-0.11450493238500398,0.013495632910668,0.103669637529976,0.2319592294357599
weekly_abnormal_return,9.0,0.007672797533968101,0.02190440647448546,-0.0183330591242864,-0.0056049146759663,0.004210799336758,0.016756800962441,0.0517249330231892
average_volatility,9.0,0.012357151583704068,0.010498180390732595,0.002887678023902,0.0081181576358142,0.0099750254389228,0.0128033568530512,0.0383970994957705
weekly_return,9.0,0.01758012744042911,0.031607373016593596,-0.0167042274079685,0.0003414002696775,0.006774606061875,0.0208553925701847,0.0934450528461959
roberta_sum_lag_1,8.0,0.008026663664041988,0.16178012051950388,-0.194218728422584,-0.11450493238500398,0.013495632910668,0.103669637529976,0.2319592294357598
sensitivity_lag_1,7.0,0.0461002631310057,0.27343113822617543,-0.235611776714368,-0.15437182680819195,-0.08373303400276,0.266519592359308,0.4177511215319358
roberta_pos_lag_1,8.0,0.27483169018011994,0.04796492450321837,0.19099910636168,0.25516734657042,0.28085490143855996,0.31358859482901996,0.32539101844248
roberta_neg_lag_1,8.0,0.33998462938526,0.012221418028240264,0.33130602455784,0.33294395396344,0.33564488981707996,0.34037991947147994,0.3679106701248
sp500_weekly_returns,9.0,0.0015143133888888887,0.0026191943667414333,-0.0026383237,-0.0003491845,0.0012328622,0.0038230819,0.0047984589
sp500_weekly_returns_alternate,9.0,0.008157861033333333,0.0121329362870015,-0.0079149712,-0.0017459226,0.0061643109,0.0191154093,0.0239922944
sp500_weekly_returns_lag_1,8.0,0.0020333930250000004,0.002251396040084048,-0.0007797657,7.870085000000001e-05,0.0019688878,0.0040211736000000005,0.0047984589
sp500_weekly_returns_lag_1_alternate,8.0,0.010166965062499998,0.011256980155533421,-0.0038988283,0.00039350407500000006,0.009844439,0.020105867825,0.0239922944
